"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7315","TC_SU_2_7.py","","","failed","","","Nightly CI Tests","Nightly CI Tests",""
"","6381","TC_SU_2_5.py","","","failed","","","Nightly CI Tests","Nightly CI Tests",""
