"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5000","TC_SU_2_5_test_pass","","Thu Apr 09 21:42:44 UTC 2026","passed","Thu Apr 09 21:42:49 UTC 2026","","Nightly CI Tests","TC_SU_2_5",""
"","5500","TC_SU_2_5_test_fail","","Thu Apr 09 21:42:44 UTC 2026","failed","Thu Apr 09 21:42:49 UTC 2026","","Nightly CI Tests","TC_SU_2_5",""
