"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6796","TC_SU_2_5.py","","","failed","","","Nightly CI Tests","Nightly CI Tests",""
"","7778","TC_SU_2_7.py","","","failed","","","Nightly CI Tests","Nightly CI Tests",""
